lat,lon,GroupCount,author_power,author_power_log10
-46,171,7,7,0.845098040014257
-44,172,1,1,0
-44,173,3,3,0.477121254719662
-41,175,7,7,0.845098040014257
-39,-73,1,1,0
-39,-62,2,2,0.301029995663981
-38,144,27,27,1.43136376415899
-38,145,58,58,1.76342799356294
-38,176,1,1,0
-37,175,8,8,0.903089986991944
-35,-58,19,19,1.27875360095283
-35,-56,4,4,0.602059991327962
-35,139,12,12,1.07918124604762
-35,149,3,3,0.477121254719662
-34,-59,2,2,0.301029995663981
-34,151,55,55,1.74036268949424
-33,-72,9,9,0.954242509439325
-33,-71,75,75,1.8750612633917
-33,-66,3,3,0.477121254719662
-32,-69,3,3,0.477121254719662
-32,-52,1,1,0
-32,116,26,26,1.41497334797082
-30,-51,1,1,0
-29,26,1,1,0
-28,153,13,13,1.11394335230684
-27,-65,1,1,0
-27,153,18,18,1.25527250510331
-26,28,10,10,1
-25,-49,2,2,0.301029995663981
-24,-47,25,25,1.39794000867204
-23,-43,71,71,1.85125834871908
-22,-43,2,2,0.301029995663981
-21,-43,1,1,0
-20,-44,1,1,0
-20,29,1,1,0
-17,-49,3,3,0.477121254719662
-16,-48,4,4,0.602059991327962
-14,34,2,2,0.301029995663981
-12,-77,13,13,1.11394335230684
-8,-35,5,5,0.698970004336019
-8,110,1,1,0
-7,107,2,2,0.301029995663981
-7,113,1,1,0
-6,107,1,1,0
-4,-39,1,1,0
-2,-80,1,1,0
-2,104,2,2,0.301029995663981
-0,-78,1,1,0
0,33,4,4,0.602059991327962
1,104,173,173,2.2380461031288
3,-77,1,1,0
3,102,2,2,0.301029995663981
5,-74,31,31,1.49136169383427
6,-76,2,2,0.301029995663981
9,7,1,1,0
9,39,3,3,0.477121254719662
11,107,12,12,1.07918124604762
13,101,1,1,0
14,80,1,1,0
14,100,2,2,0.301029995663981
14,101,9,9,0.954242509439325
15,121,1,1,0
16,78,1,1,0
16,108,7,7,0.845098040014257
19,-99,28,28,1.44715803134222
19,-98,2,2,0.301029995663981
19,73,1,1,0
20,-101,1,1,0
21,-158,1,1,0
21,-101,1,1,0
21,106,3,3,0.477121254719662
21,107,1,1,0
22,114,67,67,1.82607480270083
23,88,8,8,0.903089986991944
23,113,46,46,1.66275783168157
23,114,28,28,1.44715803134222
23,120,3,3,0.477121254719662
24,47,1,1,0
24,90,2,2,0.301029995663981
24,118,78,78,1.89209460269048
24,120,2,2,0.301029995663981
24,121,7,7,0.845098040014257
25,47,3,3,0.477121254719662
25,103,19,19,1.27875360095283
25,110,2,2,0.301029995663981
25,121,25,25,1.39794000867204
25,122,48,48,1.68124123737559
26,-97,2,2,0.301029995663981
26,-82,1,1,0
26,-80,14,14,1.14612803567824
26,119,1,1,0
28,-97,1,1,0
28,-82,3,3,0.477121254719662
28,-16,3,3,0.477121254719662
28,-15,1,1,0
28,113,69,69,1.83884909073726
29,-98,1,1,0
29,-81,8,8,0.903089986991944
29,77,6,6,0.778151250383644
29,116,11,11,1.04139268515822
30,-99,7,7,0.845098040014257
30,-98,69,69,1.83884909073726
30,-96,1,1,0
30,-95,7,7,0.845098040014257
30,-92,1,1,0
30,-91,1,1,0
30,-90,18,18,1.25527250510331
30,-84,31,31,1.49136169383427
30,-82,12,12,1.07918124604762
30,31,1,1,0
30,106,3,3,0.477121254719662
30,114,1,1,0
30,120,36,36,1.55630250076729
30,122,7,7,0.845098040014257
31,-100,1,1,0
31,-98,2,2,0.301029995663981
31,-97,1,1,0
31,-96,66,66,1.81954393554187
31,-88,3,3,0.477121254719662
31,31,2,2,0.301029995663981
31,35,24,24,1.38021124171161
31,73,1,1,0
31,74,4,4,0.602059991327962
31,104,74,74,1.86923171973098
31,112,1,1,0
31,114,13,13,1.11394335230684
31,121,111,111,2.04532297878666
31,122,77,77,1.88649072517248
32,-111,44,44,1.64345267648619
32,-107,3,3,0.477121254719662
32,-97,6,6,0.778151250383644
32,-95,3,3,0.477121254719662
32,-86,8,8,0.903089986991944
32,-83,45,45,1.65321251377534
32,-82,2,2,0.301029995663981
32,35,61,61,1.78532983501077
32,117,15,15,1.17609125905568
32,119,43,43,1.63346845557959
32,120,5,5,0.698970004336019
33,-117,104,104,2.01703333929878
33,-115,1,1,0
33,-112,48,48,1.68124123737559
33,-97,49,49,1.69019608002851
33,-90,1,1,0
33,-89,3,3,0.477121254719662
33,-88,3,3,0.477121254719662
33,-87,1,1,0
33,-83,2,2,0.301029995663981
33,117,8,8,0.903089986991944
33,130,1,1,0
34,-119,1,1,0
34,-118,248,248,2.39445168082622
34,-117,20,20,1.30102999566398
34,-112,1,1,0
34,-102,17,17,1.23044892137827
34,-87,1,1,0
34,-85,6,6,0.778151250383644
34,-84,107,107,2.02938377768521
34,-83,48,48,1.68124123737559
34,-81,13,13,1.11394335230684
34,-79,1,1,0
34,-78,1,1,0
34,109,15,15,1.17609125905568
34,117,1,1,0
34,130,9,9,0.954242509439325
34,133,2,2,0.301029995663981
34,134,6,6,0.778151250383644
35,-121,11,11,1.04139268515822
35,-102,5,5,0.698970004336019
